timestamp(ms),Angle,Pulses,Speed,
"1682138510,822","-15,43",,,
"1682138510,823",,"-6025","0,22",
"1682138510,829","-16,9","-6026","142,69",
"1682138510,834","-18,37","-6027","203,09",
"1682138510,838","-19,84","-6028","246,79",
"1682138510,842","-21,31","-6029","278,4",
"1682138510,845","-22,78","-6030","304,14",
"1682138510,848","-24,25","-6031","326,37",
"1682138510,851","-25,71","-6032","352,11",
"1682138510,853","-27,18","-6033","374,81",
"1682138510,856","-28,65","-6034","390,63",
"1682138510,858","-30,12","-6035","409,84",
"1682138510,861","-31,59","-6036","421,59",
"1682138510,863","-33,06","-6037","429,55",
"1682138510,865","-34,53","-6038","440,92",
"1682138510,867","-36","-6039","457,04",
"1682138510,87","-37,47","-6040","472,59",
"1682138510,872","-38,94","-6041","480,77",
"1682138510,874","-40,41","-6042","493,1",
"1682138510,876","-41,88","-6043","499",
"1682138510,878","-43,35","-6044","502,01",
"1682138510,88","-44,82","-6045","506,07",
"1682138510,882","-46,29","-6046","519,75",
"1682138510,883","-47,76","-6047","533,05",
"1682138510,885","-49,22","-6048","536,48",
"1682138510,887","-50,69","-6049","547,05",
"1682138510,889","-52,16","-6050","548,25",
"1682138510,891","-53,63","-6051","548,25",
"1682138510,893","-55,1","-6052","551,88",
"1682138510,894","-56,57","-6053","561,8",
"1682138510,896","-58,04","-6054","574,71",
"1682138510,898","-59,51","-6055","574,71",
"1682138510,9","-60,98","-6056","584,11",
"1682138510,901","-62,45","-6057","584,11",
"1682138510,903","-63,92","-6058","580,05",
"1682138510,905","-65,39","-6059","584,11",
"1682138510,906","-66,86",,,
"1682138510,907",,"-6060","592,42",
"1682138510,908","-68,33","-6061","603,86",
"1682138510,91","-69,8","-6062","602,41",
"1682138510,911","-71,27","-6063","609,76",
"1682138510,913","-72,73","-6064","609,76",
"1682138510,915","-74,2","-6065","605,33",
"1682138510,916","-75,67","-6066","605,33",
"1682138510,918","-77,14","-6067","615,76",
"1682138510,92","-78,61","-6068","625",
"1682138510,921","-80,08","-6069","623,44",
"1682138510,923","-81,55","-6070","629,72",
"1682138510,924","-83,02","-6071","629,72",
"1682138510,926","-84,49","-6072","623,44",
"1682138510,928","-85,96","-6073","621,89",
"1682138510,929","-87,43","-6074","632,91",
"1682138510,931","-88,9","-6075","641,03",
"1682138510,932","-90,37","-6076","637,76",
"1682138510,934","-91,84","-6077","645,99",
"1682138510,935","-93,31","-6078","642,67",
"1682138510,937","-94,78","-6079","637,76",
"1682138510,939","-96,25","-6080","636,13",
"1682138510,94","-97,71","-6081","644,33",
"1682138510,942","-99,18","-6082","652,74",
"1682138510,943","-100,65","-6083","651,04",
"1682138510,945","-102,12","-6084","656,17",
"1682138510,946","-103,59","-6085","656,17",
"1682138510,948","-105,06","-6086","645,99",
"1682138510,949","-106,53","-6087","647,67",
"1682138510,951","-108","-6088","654,45",
"1682138510,952","-109,47","-6089","661,38",
"1682138510,954","-110,94","-6090","659,63",
"1682138510,955","-112,41","-6091","2100,84",
"1682138510,957","-113,88","-6092","661,38",
"1682138510,958","-115,35","-6093","656,17",
"1682138510,96","-116,82","-6094","652,74",
"1682138510,961","-118,29","-6095","661,38",
"1682138510,963","-119,76","-6096","668,45",
"1682138510,964","-121,22","-6097","666,67",
"1682138510,966","-122,69","-6098","672,04",
"1682138510,968","-124,16","-6099","668,45",
"1682138510,969","-125,63","-6100","661,38",
"1682138510,97","-127,1","-6101","657,89",
"1682138510,972","-128,57","-6102","666,67",
"1682138510,973","-130,04","-6103","675,68",
"1682138510,975","-131,51","-6104","672,04",
"1682138510,976","-132,98","-6105","677,51",
"1682138510,978","-134,45","-6106","2155,17",
"1682138510,979","-135,92","-6107","666,67",
"1682138510,981","-137,39","-6108","663,13",
"1682138510,982","-138,86","-6109","672,04",
"1682138510,984","-140,33","-6110","679,35",
"1682138510,985","-141,8","-6111","677,51",
"1682138510,987","-143,27","-6112","681,2",
"1682138510,988","-144,74","-6113","677,51",
"1682138510,99","-146,2","-6114","670,24",
"1682138510,991","-147,67","-6115","666,67",
"1682138510,993","-149,14","-6116","677,51",
"1682138510,994","-150,61","-6117","683,06",
"1682138510,996","-152,08","-6118","679,35",
"1682138510,997","-153,55","-6119","684,93",
"1682138510,999","-155,02","-6120","681,2",
"1682138511","-156,49","-6121","673,85",
"1682138511,002","-157,96","-6122","670,24",
"1682138511,003","-159,43","-6123","677,51",
"1682138511,004","-160,9",,,
"1682138511,005",,"-6124","688,71",
"1682138511,006","-162,37","-6125","681,2",
"1682138511,007","-163,84","-6126","688,71",
"1682138511,009","-165,31","-6127","683,06",
"1682138511,01","-166,78","-6128","675,68",
"1682138511,012","-168,25","-6129","673,85",
"1682138511,013","-169,71","-6130","681,2",
"1682138511,015","-171,18","-6131","688,71",
"1682138511,016","-172,65","-6132","684,93",
"1682138511,018","-174,12","-6133","690,61",
"1682138511,019","-175,59","-6134","684,93",
"1682138511,021","-177,06","-6135","677,51",
"1682138511,022","-178,53","-6136","675,68",
"1682138511,024","-180","-6137","683,06",
"1682138511,025","-181,47","-6138","690,61",
"1682138511,027","-182,94","-6139","684,93",
"1682138511,028","-184,41","-6140","692,52",
"1682138511,029","-185,88","-6141","688,71",
"1682138511,031","-187,35","-6142","677,51",
"1682138511,032","-188,82","-6143","677,51",
"1682138511,034","-190,29","-6144","683,06",
"1682138511,035","-191,76","-6145","692,52",
"1682138511,037","-193,22","-6146","688,71",
"1682138511,038","-194,69","-6147","692,52",
"1682138511,04","-196,16","-6148","688,71",
"1682138511,041","-197,63","-6149","681,2",
"1682138511,043","-199,1","-6150","677,51",
"1682138511,044","-200,57","-6151","684,93",
"1682138511,045","-202,04","-6152","2380,95",
"1682138511,047","-203,51","-6153","690,61",
"1682138511,048","-204,98","-6154","694,44",
"1682138511,05","-206,45","-6155","688,71",
"1682138511,051","-207,92","-6156","681,2",
"1682138511,053","-209,39","-6157","677,51",
"1682138511,054","-210,86","-6158","686,81",
"1682138511,056","-212,33","-6159","694,44",
"1682138511,057","-213,8","-6160","688,71",
"1682138511,058","-215,27","-6161","696,38",
"1682138511,06","-216,74","-6162","690,61",
"1682138511,061","-218,2","-6163","683,06",
"1682138511,063","-219,67","-6164","2232,14",
"1682138511,064","-221,14","-6165","686,81",
"1682138511,066","-222,61","-6166","694,44",
"1682138511,067","-224,08","-6167","690,61",
"1682138511,069","-225,55","-6168","696,38",
"1682138511,07","-227,02","-6169","692,52",
"1682138511,072","-228,49","-6170","683,06",
"1682138511,073","-229,96","-6171","679,35",
"1682138511,074","-231,43","-6172","688,71",
"1682138511,076","-232,9","-6173","694,44",
"1682138511,077","-234,37","-6174","692,52",
"1682138511,079","-235,84","-6175","696,38",
"1682138511,08","-237,31","-6176","2380,95",
"1682138511,082","-238,78","-6177","683,06",
"1682138511,083","-240,25","-6178","681,2",
"1682138511,085","-241,71","-6179","688,71",
"1682138511,086","-243,18","-6180","696,38",
"1682138511,088","-244,65","-6181","692,52",
"1682138511,089","-246,12","-6182","696,38",
"1682138511,09","-247,59","-6183","692,52",
"1682138511,092","-249,06","-6184","684,93",
"1682138511,093","-250,53","-6185","681,2",
"1682138511,095","-252","-6186","688,71",
"1682138511,096","-253,47","-6187","698,32",
"1682138511,098","-254,94","-6188","2358,49",
"1682138511,099","-256,41","-6189","698,32",
"1682138511,101","-257,88","-6190","694,44",
"1682138511,102","-259,35","-6191","684,93",
"1682138511,103","-260,82","-6192","679,35",
"1682138511,105","-262,29","-6193","690,61",
"1682138511,106","-263,76","-6194","698,32",
"1682138511,108","-265,23","-6195","692,52",
"1682138511,109","-266,69","-6196","698,32",
"1682138511,111","-268,16","-6197","694,44",
"1682138511,112","-269,63","-6198","684,93",
"1682138511,114","-271,1","-6199","681,2",
"1682138511,115","-272,57","-6200","2358,49",
"1682138511,116","-274,04","-6201","696,38",
"1682138511,118","-275,51","-6202","692,52",
"1682138511,119","-276,98","-6203","700,28",
"1682138511,121","-278,45","-6204","694,44",
"1682138511,122","-279,92","-6205","2293,58",
"1682138511,124","-281,39","-6206","681,2",
"1682138511,125","-282,86","-6207","690,61",
"1682138511,127","-284,33","-6208","698,32",
"1682138511,128","-285,8","-6209","692,52",
"1682138511,13","-287,27","-6210","700,28",
"1682138511,131","-288,74","-6211","692,52",
"1682138511,132","-290,2","-6212","686,81",
"1682138511,134","-291,67","-6213","681,2",
"1682138511,135","-293,14","-6214","690,61",
"1682138511,137","-294,61","-6215","700,28",
"1682138511,138","-296,08","-6216","692,52",
"1682138511,14","-297,55","-6217","700,28",
"1682138511,141","-299,02","-6218","694,44",
"1682138511,142","-300,49","-6219","686,81",
"1682138511,144","-301,96","-6220","681,2",
"1682138511,145","-303,43","-6221","688,71",
"1682138511,147","-304,9","-6222","702,25",
"1682138511,148","-306,37","-6223","694,44",
"1682138511,15","-307,84","-6224","698,32",
"1682138511,151","-309,31","-6225","696,38",
"1682138511,153","-310,78","-6226","684,93",
"1682138511,154","-312,25","-6227","683,06",
"1682138511,155","-313,71","-6228","692,52",
"1682138511,157","-315,18","-6229","698,32",
"1682138511,158","-316,65","-6230","694,44",
"1682138511,16","-318,12","-6231","700,28",
"1682138511,161","-319,59","-6232","696,38",
"1682138511,163","-321,06","-6233","686,81",
"1682138511,164","-322,53","-6234","683,06",
"1682138511,166","-324","-6235","690,61",
"1682138511,167","-325,47","-6236","700,28",
"1682138511,168","-326,94","-6237","692,52",
"1682138511,17","-328,41","-6238","702,25",
"1682138511,171","-329,88","-6239","694,44",
"1682138511,173","-331,35","-6240","686,81",
"1682138511,174","-332,82","-6241","683,06",
"1682138511,176","-334,29","-6242","692,52",
"1682138511,177","-335,76","-6243","698,32",
"1682138511,179","-337,23","-6244","2403,85",
"1682138511,18","-338,69","-6245","700,28",
"1682138511,181","-340,16","-6246","694,44",
"1682138511,183","-341,63","-6247","686,81",
"1682138511,184","-343,1","-6248","683,06",
"1682138511,186","-344,57","-6249","690,61",
"1682138511,187","-346,04","-6250","700,28",
"1682138511,189","-347,51","-6251","694,44",
"1682138511,19","-348,98","-6252","700,28",
"1682138511,192","-350,45","-6253","694,44",
"1682138511,193","-351,92","-6254","686,81",
"1682138511,194","-353,39",,,
"1682138511,195",,"-6255","683,06",
"1682138511,196","-354,86","-6256","692,52",
"1682138511,197","-356,33","-6257","698,32",
"1682138511,199","-357,8","-6258","694,44",
"1682138511,2","-359,27","-6259","700,28",
"1682138511,202","720,74","-6260","696,38",
"1682138511,203","359,27","-6261","684,93",
"1682138511,205","357,8","-6262","684,93",
"1682138511,206","356,33","-6263","690,61",
"1682138511,207","354,86","-6264","700,28",
"1682138511,209","353,39","-6265","692,52",
"1682138511,21","351,92","-6266","702,25",
"1682138511,212","350,45","-6267","694,44",
"1682138511,213","348,98","-6268","686,81",
"1682138511,215","347,51","-6269","684,93",
"1682138511,216","346,04","-6270","690,61",
"1682138511,218","344,57","-6271","700,28",
"1682138511,219","343,1","-6272","694,44",
"1682138511,22","341,63","-6273","700,28",
"1682138511,222","340,16","-6274","696,38",
"1682138511,223","338,69","-6275","686,81",
"1682138511,225","337,23","-6276","683,06",
"1682138511,226","335,76","-6277","692,52",
"1682138511,228","334,29","-6278","700,28",
"1682138511,229","332,82","-6279","694,44",
"1682138511,23","331,35","-6280","700,28",
"1682138511,232","329,88","-6281","696,38",
"1682138511,233","328,41","-6282","686,81",
"1682138511,235","326,94","-6283","683,06",
"1682138511,236","325,47","-6284","692,52",
"1682138511,238","324","-6285","700,28",
"1682138511,239","322,53","-6286","694,44",
"1682138511,241","321,06","-6287","700,28",
"1682138511,242","319,59","-6288","2427,18",
"1682138511,243","318,12","-6289",,
"1682138511,244",,,"686,81",
"1682138511,245","316,65","-6290","683,06",
"1682138511,246","315,18","-6291","692,52",
"1682138511,248","313,72","-6292","700,28",
"1682138511,249","312,25","-6293","694,44",
"1682138511,251","310,78","-6294","702,25",
"1682138511,252","309,31","-6295","694,44",
