timestamp(ms),Angle,Pulses,Speed,Time,
"1682182517,903","180","0","0,06","18024708",
"1682182517,93","178,53","-1","36,62","18052012",
"1682182517,941","177,06","-2","95,79","18062452",
"1682182517,95","175,59","-3","113,79","18071240",
"1682182517,957","174,12","-4","134,84","18078656",
"1682182517,964","172,65","-5","182,75","18084128",
"1682182517,97","171,18","-6","168,01","18090080",
"1682182517,975","169,71","-7","183,28","18095536",
"1682182517,98","168,24","-8","193,65","18100700",
"1682182517,985","166,78","-9","202,43","18105640",
"1682182517,99","165,31","-10","211,86","18110360",
"1682182517,995","163,84","-11","290,7","18113800",
"1682182517,999","162,37","-12","235,4","18118048",
"1682182518,003","160,9","-13","242,48","18122172",
"1682182518,007","159,43","-14","252,27","18126136",
"1682182518,011","157,96","-15","257,2","18130024",
"1682182518,015","156,49","-16","260,69","18133860",
"1682182518,018","155,02","-17","366,03","18136592",
"1682182518,022","153,55","-18","275,33","18140224",
"1682182518,026","152,08","-19","283,77","18143748",
"1682182518,029","150,61","-20","287,36","18147228",
"1682182518,032","149,14","-21","421,59","18149600",
"1682182518,036","147,67","-22","297,97","18152956",
"1682182518,039","146,2","-23","299,04","18156300",
"1682182518,042","144,73","-24","439,37","18158576",
"1682182518,046","143,27","-25","453,72","18160780",
"1682182518,049","141,8","-26","316,46","18163940",
"1682182518,052","140,33","-27","318,88","18167076",
"1682182518,055","138,86","-28","325,52","18170148",
"1682182518,058","137,39","-29","327,23","18173204",
"1682182518,061","135,92","-30","327,65","18176256",
"1682182518,064","134,45","-31","330,25","18179284",
"1682182518,067","132,98","-32","337,38","18182248",
"1682182518,07","131,51","-33","345,3","18185144",
"1682182518,073","130,04","-34","534,19","18187016",
"1682182518,076","128,57","-35","551,88","18188828",
"1682182518,079","127,1","-36","352,61","18191664",
"1682182518,081","125,63","-37","351,62","18194508",
"1682182518,084","124,16","-38","353,61","18197336",
"1682182518,087","122,69","-39","570,78","18199088",
"1682182518,09","121,22","-40","367,11","18201812",
"1682182518,092","119,75","-41","368,19","18204528",
"1682182518,095","118,29","-42","600,96","18206192",
"1682182518,098","116,82","-43","370,92","18208888",
"1682182518,101","115,35","-44","368,73","18211600",
"1682182518,103","113,88","-45","592,42","18213288",
"1682182518,106","112,41","-46","373,69","18215964",
"1682182518,109","110,94","-47","381,1","18218588",
"1682182518,111","109,47","-48","381,68","18221208",
"1682182518,114","108","-49","386,4","18223796",
"1682182518,116","106,53","-50","385,8","18226388",
"1682182518,119","105,06","-51","382,26","18229004",
"1682182518,122","103,59","-52","628,14","18230596",
"1682182518,124","102,12","-53","388,2","18233172",
"1682182518,127","100,65","-54","659,63","18234688",
"1682182518,129","99,18","-55","394,32","18237224",
"1682182518,132","97,71","-56","673,85","18238708",
"1682182518,134","96,24","-57","396,2","18241232",
"1682182518,137","94,78","-58","393,08","18243776",
"1682182518,139","93,31","-59","393,08","18246320",
"1682182518,142","91,84","-60","399,36","18248824",
"1682182518,144","90,37","-61","405,19","18251292",
"1682182518,147","88,9","-62","402,58","18253776",
"1682182518,149","87,43","-63","700,28","18255204",
"1682182518,152","85,96","-64","406,5","18257664",
"1682182518,154","84,49","-65","688,71","18259116",
"1682182518,157","83,02","-66","401,93","18261604",
"1682182518,159","81,55","-67","407,17","18264060",
"1682182518,162","80,08","-68","716,33","18265456",
"1682182518,164","78,61","-69","412,54","18267880",
"1682182518,166","77,14","-70","726,74","18269256",
"1682182518,169","75,67","-71","413,91","18271672",
